Question,Option A,Option B,Option C,Option D,Correct Answer,,
"What is the name of the wizarding school in ""Fantastic Beasts""?",Beauxbatons,Ilvermorny,Hogwarts,Durmstrang,Ilvermorny,,
"Which movie begins with ""I see dead people""?",Poltergeist,The Sixth Sense,The Others,Insidious,The Sixth Sense,,
What is the highest-grossing film of all time (adjusted)?,Avatar,Avengers: Endgame,Gone with the Wind,Titanic,Gone with the Wind,,
"Who played Joker in ""The Dark Knight""?",Joaquin Phoenix,Jared Leto,Heath Ledger,Jack Nicholson,Heath Ledger,,
Which movie features the DeLorean car?,Grease,Back to the Future,Speed,The Fast and the Furious,Back to the Future,,
Which actor played Forrest Gump?,Tom Hanks,Robin Williams,Bruce Willis,Nicolas Cage,Tom Hanks,,
"What is the name of the shark in ""Jaws""?",Bruce,Chomper,Great White,Shadow,Bruce,,
Which movie won Best Picture in 2020?,1917,Joker,Parasite,Ford v Ferrari,Parasite,,
Which movie stars a volleyball named Wilson?,Into the Wild,Cast Away,Survivor,The Beach,Cast Away,,
"Who played Katniss in ""The Hunger Games""?",Shailene Woodley,Jennifer Lawrence,Kristen Stewart,Emma Stone,Jennifer Lawrence,,
Which film did Quentin Tarantino direct in 1994?,Kill Bill,Pulp Fiction,Reservoir Dogs,Jackie Brown,Pulp Fiction,,
"Who played Batman in ""Batman Begins""?",Ben Affleck,Christian Bale,George Clooney,Michael Keaton,Christian Bale,,
Which comedy features “Stifler”?,American Pie,The Hangover,Superbad,21 Jump Street,American Pie,,
Which 80s film features a dance in a warehouse?,Footloose,Flashdance,Grease,Dirty Dancing,Footloose,,
"Who directed ""E.T.""?",James Cameron,Steven Spielberg,George Lucas,Tim Burton,Steven Spielberg,,
Which animated film features Lightning McQueen?,Bolt,Cars,Turbo,Planes,Cars,,
What 1999 film stars Keanu Reeves as Neo?,The Matrix,John Wick,Speed,Equilibrium,The Matrix,,
Which film had the line “I’m king of the world!”?,Titanic,Cast Away,Gladiator,The Aviator,Titanic,,
"Who voiced Elsa in ""Frozen""?",Kristen Bell,Idina Menzel,Adele Dazeem,Sarah Silverman,Idina Menzel,,
Which movie is based on Stephen King’s novel?,The Notebook,The Shining,The Fault in Our Stars,The Others,The Shining,,
Which actor played Deadpool?,Ryan Gosling,Ryan Reynolds,Chris Pine,Paul Rudd,Ryan Reynolds,,
Which war film stars Tom Hanks as Captain Miller?,Dunkirk,Platoon,Saving Private Ryan,Hacksaw Ridge,Saving Private Ryan,,
What is the name of Rocky’s opponent in the first film?,Drago,Apollo Creed,Mr. T,Tommy Gunn,Apollo Creed,,
Which 2021 film stars Zendaya and Timothée Chalamet?,Tenet,Dune,Don’t Look Up,Interstellar,Dune,,
What film won Best Animated Feature in 2013?,Frozen,Toy Story 3,Big Hero 6,Zootopia,Frozen,,
Which movie is about dreams within dreams?,Shutter Island,The Prestige,Inception,Tenet,Inception,,
What movie stars Will Smith as a dating coach?,The Pursuit of Happyness,Hitch,Focus,Seven Pounds,Hitch,,
Which superhero team includes Hulk and Thor?,Justice League,Avengers,X-Men,Guardians of the Galaxy,Avengers,,
"Who played Mia in ""La La Land""?",Emma Stone,Amanda Seyfried,Anne Hathaway,Natalie Portman,Emma Stone,,
Which Pixar film is about emotions?,Inside Out,Up,Soul,Turning Red,Inside Out,,
"What is the name of the hotel in ""The Shining""?",Overlook Hotel,Redrum Inn,Stanley Hotel,Highland Inn,Overlook Hotel,,
Which actor plays Captain Jack Sparrow?,Johnny Depp,Orlando Bloom,Tom Hiddleston,Hugh Jackman,Johnny Depp,,
Which film features the song “My Heart Will Go On”?,Moulin Rouge!,Titanic,The Bodyguard,Evita,Titanic,,
"Who directed ""Once Upon a Time in Hollywood""?",Martin Scorsese,Quentin Tarantino,David Fincher,Sam Mendes,Quentin Tarantino,,
"Which actor starred in ""The Truman Show""?",Jim Carrey,Steve Carell,Adam Sandler,Will Ferrell,Jim Carrey,,
Which animated film features a rat chef?,Ratatouille,Flushed Away,Cloudy with a Chance of Meatballs,Sausage Party,Ratatouille,,
Which film stars Tom Cruise as a sports agent?,Rain Man,Top Gun,Minority Report,Jerry Maguire,Jerry Maguire,,
What 90s movie features a friendship between two women on the run?,The Help,Thelma & Louise,Fried Green Tomatoes,Erin Brockovich,Thelma & Louise,,
Which film is about a spelling competition?,Spelling Bee,Spellbound,Akeelah and the Bee,Words of Glory,Akeelah and the Bee,,
"Who directed ""The Grand Budapest Hotel""?",Wes Anderson,Noah Baumbach,Paul Thomas Anderson,David Fincher,Wes Anderson,,
Which actor plays Wolverine?,Chris Hemsworth,Hugh Jackman,Henry Cavill,Ben Affleck,Hugh Jackman,,
Which Pixar film takes place in Mexico?,Encanto,Coco,Up,Vivo,Coco,,
What film features a computer named HAL 9000?,The Terminator,Interstellar,2001: A Space Odyssey,AI,2001: A Space Odyssey,,
"Who won an Oscar for ""Dallas Buyers Club""?",Brad Pitt,Matthew McConaughey,Leonardo DiCaprio,Tom Hardy,Matthew McConaughey,,
"What’s the name of the dog in ""The Artist""?",Oscar,Max,Uggie,Charlie,Uggie,,
"Who played the Genie in the 2019 ""Aladdin""?",Will Smith,Eddie Murphy,Kevin Hart,Jamie Foxx,Will Smith,,
Which movie is about a bear attack survivor?,The Edge,Into the Wild,The Revenant,The Grey,The Revenant,,
What was the first feature-length animated film?,Dumbo,Steamboat Willie,Fantasia,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,,
Which film is about a boxing underdog?,Raging Bull,Southpaw,Rocky,Cinderella Man,Rocky,,
What film is set in a dystopian Chicago?,The Maze Runner,The Hunger Games,Divergent,Oblivion,Divergent,,
What does E.T. want to do?,Explore Earth,Build a spaceship,Go home,Meet aliens,Go home,,
"Who directed ""Inglourious Basterds""?",Steven Spielberg,James Cameron,Quentin Tarantino,Christopher Nolan,Quentin Tarantino,,
Which actress played Black Widow?,Natalie Portman,Brie Larson,Scarlett Johansson,Gwyneth Paltrow,Scarlett Johansson,,
Which film features the line “Here’s Johnny!”?,The Shining,The Thing,Psycho,The Exorcist,The Shining,,
What was Pixar’s first movie?,Monsters Inc.,Toy Story,A Bug’s Life,Finding Nemo,Toy Story,,
"Which actor played the lead in ""The Notebook""?",Channing Tatum,Chris Evans,Ryan Gosling,Leonardo DiCaprio,Ryan Gosling,,
"What’s the name of the kingdom in ""Frozen""?",Eldora,Arendelle,Narnia,Erindale,Arendelle,,
Which movie is about a NASA janitor who is a genius?,Hidden Figures,A Beautiful Mind,Good Will Hunting,The Theory of Everything,Good Will Hunting,,
"Who starred in ""Gravity""?",Sandra Bullock,Anne Hathaway,Amy Adams,Natalie Portman,Sandra Bullock,,
"What’s the name of the fish in ""Finding Nemo""?",Dory,Nemo,Bubbles,Gill,Nemo,,
Which film features a giant blue alien species?,Avatar,Guardians of the Galaxy,Star Trek,John Carter,Avatar,,
"What year was ""Star Wars: A New Hope"" released?",1975,1977,1980,1982,1977,,
Which horror film features a haunted videotape?,The Ring,The Grudge,Paranormal Activity,Saw,The Ring,,
Which movie features a singing nun?,The Sound of Music,Mamma Mia!,Mary Poppins,Sister Act,The Sound of Music,,
What movie is based on Facebook’s origin?,Steve Jobs,The Social Network,Startup,The Founder,The Social Network,,
Who played Freddy Krueger?,Jason Voorhees,Robert Englund,Tim Curry,Jack Nicholson,Robert Englund,,
"Which actor played Joker in ""Joker"" (2019)?",Heath Ledger,Joaquin Phoenix,Jared Leto,Jack Nicholson,Joaquin Phoenix,,
"What’s the name of the talking snowman in ""Frozen""?",Kristoff,Sven,Olaf,Hans,Olaf,,
"Who played Tony Montana in ""Scarface""?",Robert De Niro,Al Pacino,Joe Pesci,Dustin Hoffman,Al Pacino,,
Which film is based on a real hotel manager saving refugees?,Argo,Hotel Rwanda,The Pianist,The Last King of Scotland,Hotel Rwanda,,
"Who directed ""The Irishman""?",Martin Scorsese,Francis Coppola,David O. Russell,Spike Lee,Martin Scorsese,,
What musical stars Hugh Jackman as P.T. Barnum?,Chicago,Les Misérables,The Greatest Showman,Moulin Rouge!,The Greatest Showman,,
Which comedy features a baby named Carlos?,Knocked Up,Due Date,The Hangover,Daddy Day Care,The Hangover,,
What film is about jazz drummer Andrew?,Green Book,Whiplash,Soul,August Rush,Whiplash,,
Which actress plays Elle Woods?,Jennifer Garner,Amanda Bynes,Reese Witherspoon,Cameron Diaz,Reese Witherspoon,,
"What’s the name of the clown in ""It""?",Bozo,Pennywise,Krusty,Giggles,Pennywise,,
Which movie is about a man aging in reverse?,Benjamin Button,The Curious Case of Benjamin Button,Time Traveler’s Wife,Forever Young,The Curious Case of Benjamin Button,,
Which film is set at Rydell High School?,Hairspray,Glee,Grease,Footloose,Grease,,
"Who played the title role in ""Erin Brockovich""?",Sandra Bullock,Julia Roberts,Jennifer Aniston,Hilary Swank,Julia Roberts,,
"Which actor starred in ""Top Gun""?",Val Kilmer,Tom Cruise,Harrison Ford,Keanu Reeves,Tom Cruise,,
Which 2023 film stars Margot Robbie as a doll?,Bratz,Barbie,Polly Pocket,LOL Surprise,Barbie,,
What film centers on Oppenheimer and the atomic bomb?,Oppenheimer,The Imitation Game,The Bomb,Trinity,Oppenheimer,,
Which film shows a character with a split personality?,Glass,Shutter Island,Split,Identity,Split,,
Which Disney film features the song “Let It Go”?,Moana,Tangled,Frozen,Encanto,Frozen,,
Which superhero movie is set in Wakanda?,Iron Man,Thor,Black Panther,Doctor Strange,Black Panther,,
"Who plays the lead role in ""The Mask""?",Ben Stiller,Adam Sandler,Jim Carrey,Mike Myers,Jim Carrey,,
Which film follows a jazz musician turned cat?,Sing,Soul,Coco,Inside Out,Soul,,
"What’s the main theme of ""The Truman Show""?",Time travel,Surveillance,Reality TV,Politics,Reality TV,,
Which 90s movie features bullet-dodging in slow motion?,Speed,Equilibrium,The Matrix,Fight Club,The Matrix,,
"Who plays Lara Croft in the 2001 ""Tomb Raider""?",Charlize Theron,Cameron Diaz,Angelina Jolie,Kate Beckinsale,Angelina Jolie,,
Which horror movie features the character Norman Bates?,The Exorcist,The Shining,Psycho,It,Psycho,,
"What’s the name of the penguin in ""Happy Feet""?",Mumble,Tux,Flap,Chilly,Mumble,,
"Who directed the original ""Star Wars""?",Steven Spielberg,James Cameron,George Lucas,J.J. Abrams,George Lucas,,
Which film is based on a ship that sank in 1912?,Titanic,The Abyss,Poseidon,Deep Impact,Titanic,,
"Which actor starred in ""The Pursuit of Happyness""?",Jamie Foxx,Denzel Washington,Will Smith,Forest Whitaker,Will Smith,,
What movie features the quote “Say hello to my little friend!”?,Goodfellas,Heat,Scarface,The Departed,Scarface,,
Which film is about a female boxer?,Million Dollar Baby,Rocky,Southpaw,The Fighter,Million Dollar Baby,,
"Who played the lead in ""Fight Club""?",Edward Norton,Brad Pitt,Christian Bale,Matt Damon,Edward Norton,,
Which movie is about a linguist communicating with aliens?,Arrival,Interstellar,Contact,The Martian,Arrival,,
What does WALL-E collect?,Books,Batteries,Plants,Trash,Trash,,
What movie features a magic board game?,Jumanji,Zathura,The Game,The Jungle Book,Jumanji,,
"Which actor starred in ""Cast Away""?",Tom Cruise,Tom Hanks,Brad Pitt,Ben Affleck,Tom Hanks,,
Which film is about a man who lives the same day repeatedly?,The Time Traveler's Wife,Edge of Tomorrow,Groundhog Day,Looper,Groundhog Day,,
"Who directed ""Schindler's List""?",Christopher Nolan,Steven Spielberg,Martin Scorsese,Clint Eastwood,Steven Spielberg,,
Which actor plays John Wick?,Keanu Reeves,Tom Hardy,Jason Statham,Nicholas Cage,Keanu Reeves,,
Which film is about a man stuck in an airport?,Catch Me If You Can,Flight,The Terminal,Sully,The Terminal,,
Which actor plays Doctor Strange?,Benedict Cumberbatch,Robert Downey Jr.,Tom Hiddleston,Chris Pratt,Benedict Cumberbatch,,
"Which actress starred in ""Bird Box""?",Sandra Bullock,Nicole Kidman,Charlize Theron,Amy Adams,Sandra Bullock,,
"What’s the name of the robot in ""Big Hero 6""?",Baymax,Hiro,Otto,Max,Baymax,,
Which movie is about an autistic man counting cards?,Good Will Hunting,A Beautiful Mind,Rain Man,21,Rain Man,,
"Who played The Bride in ""Kill Bill""?",Uma Thurman,Lucy Liu,Charlize Theron,Natalie Portman,Uma Thurman,,
"Which movie features the song ""City of Stars""?",The Artist,Whiplash,La La Land,Begin Again,La La Land,,
"What is the main setting of ""Zootopia""?",City,Forest,Desert,Farm,City,,
"Which actor voiced Donkey in ""Shrek""?",Eddie Murphy,Chris Rock,Kevin Hart,Will Smith,Eddie Murphy,,
"Who played the lead in ""The Wolf of Wall Street""?",Leonardo DiCaprio,Christian Bale,Brad Pitt,Matt Damon,Leonardo DiCaprio,,
"What is the name of the child in ""Room""?",Jack,Charlie,Tommy,Max,Jack,,
Which film is about magicians robbing banks?,The Prestige,Now You See Me,The Illusionist,The Great Magic,Now You See Me,,
"Who starred in ""The Blind Side""?",Julia Roberts,Sandra Bullock,Anne Hathaway,Reese Witherspoon,Sandra Bullock,,
Which 80s movie features time travel?,Ghostbusters,Back to the Future,Gremlins,Short Circuit,Back to the Future,,
"What is the name of the cowboy in ""Toy Story""?",Buzz,Woody,Rex,Slinky,Woody,,
"Which actor starred in ""Gladiator""?",Brad Pitt,Russell Crowe,Mel Gibson,Hugh Jackman,Russell Crowe,,
"What’s the name of the car in ""Cars""?",Speedster,Lightning McQueen,Red Thunder,Racer X,Lightning McQueen,,
"What is the name of the hotel in ""Home Alone 2""?",Plaza Hotel,Trump Hotel,Holiday Inn,New York Inn,Plaza Hotel,,
What film is about musicians pretending to be women?,Tootsie,Sister Act,Some Like It Hot,Victor Victoria,Some Like It Hot,,
Which movie is about a talking teddy bear?,Ted,Toy Story,Paddington,Winnie the Pooh,Ted,,
"Who directed ""Tenet""?",Christopher Nolan,James Cameron,Zack Snyder,Michael Bay,Christopher Nolan,,
Which superhero is blind?,Daredevil,Cyclops,Blade,Hawkeye,Daredevil,,
"What’s the name of the baby in ""The Incredibles""?",Jack-Jack,Dash,Bobby,Tommy,Jack-Jack,,
Which movie features dancing penguins?,Happy Feet,Madagascar,Surf's Up,March of the Penguins,Happy Feet,,
"What year was ""The Lion King"" released?",1992,1993,1994,1995,1994,,
What’s the title of the musical about a circus?,Moulin Rouge!,The Greatest Showman,Chicago,Cats,The Greatest Showman,,
Which movie shows a jazz teacher and student?,August Rush,Whiplash,Mr. Holland's Opus,The Soloist,Whiplash,,
Which film involves dreams within dreams?,Memento,Interstellar,Inception,The Prestige,Inception,,
Who plays Forrest Gump?,Matt Damon,Tom Hanks,Robin Williams,Bruce Willis,Tom Hanks,,
"Which actor voiced Woody in ""Toy Story""?",Tom Cruise,Tom Hanks,Tim Allen,Billy Crystal,Tom Hanks,,
"What is the main setting of ""The Martian""?",Moon,Mars,Earth,Venus,Mars,,
Who plays Deadpool?,Chris Pratt,Ryan Reynolds,Hugh Jackman,Andrew Garfield,Ryan Reynolds,,
Which film is about an oil prospector?,No Country for Old Men,There Will Be Blood,The Master,The Revenant,There Will Be Blood,,
"What’s the name of the evil AI in ""2001: A Space Odyssey""?",HAL 9000,Skynet,GERTY,VIKI,HAL 9000,,
"Which actress plays Katniss in ""The Hunger Games""?",Shailene Woodley,Kristen Stewart,Jennifer Lawrence,Emma Watson,Jennifer Lawrence,,
Which comedy features time travel via a hot tub?,Time Travel Inc.,Back to the Future,Hot Tub Time Machine,Looper,Hot Tub Time Machine,,
Which war film is directed by Christopher Nolan?,1917,Dunkirk,Fury,Platoon,Dunkirk,,
"Which actor starred in ""The Aviator""?",Matt Damon,Leonardo DiCaprio,Ben Affleck,Brad Pitt,Leonardo DiCaprio,,
What movie features a magical nanny?,Mary Poppins,Nanny McPhee,The Parent Trap,Matilda,Mary Poppins,,
"What’s the name of the villain in ""The Dark Knight""?",Penguin,Riddler,Joker,Two-Face,Joker,,
Which animated movie features emotions?,Soul,Inside Out,Up,Turning Red,Inside Out,,
Which movie is about a young wizard?,Narnia,Harry Potter,The Sorcerer’s Apprentice,The Hobbit,Harry Potter,,
"Who directed ""The Dark Knight""?",Steven Spielberg,Christopher Nolan,James Cameron,Zack Snyder,Christopher Nolan,,
"Which actor starred in ""The Big Short""?",Steve Carell,Will Ferrell,Jonah Hill,Vince Vaughn,Steve Carell,,
"What is the setting of ""Pirates of the Caribbean""?",Arctic,Amazon,Caribbean,Pacific,Caribbean,,
Which film shows a girl with a bow fighting for survival?,Divergent,The Hunger Games,Maze Runner,Alita,The Hunger Games,,
"Which character is a cowboy in ""Toy Story""?",Buzz Lightyear,Woody,Slinky,Rex,Woody,,
Who plays Iron Man?,Chris Hemsworth,Robert Downey Jr.,Mark Ruffalo,Chris Evans,Robert Downey Jr.,,
"Which actor played Batman in ""The Batman"" (2022)?",Ben Affleck,Christian Bale,Robert Pattinson,Michael Keaton,Robert Pattinson,,
"What’s the name of the hotel in ""The Shining""?",Overlook Hotel,Bates Motel,Mountain Inn,Redrum Lodge,Overlook Hotel,,
Which film is about a boy raised by wolves?,The Jungle Book,Tarzan,Moana,Spirit,The Jungle Book,,
What 80s movie featured a killer robot from the future?,Terminator,Robocop,Alien,Blade Runner,Terminator,,
Which musical features “Do-Re-Mi”?,Chicago,Moulin Rouge!,The Sound of Music,Annie,The Sound of Music,,
Which movie stars a rat who cooks?,Ratatouille,Stuart Little,Flushed Away,The Secret Life of Pets,Ratatouille,,
"Who starred in ""Jerry Maguire""?",Brad Pitt,Tom Hanks,Tom Cruise,Nicolas Cage,Tom Cruise,,
"What genre is ""Scream""?",Drama,Comedy,Horror,Romance,Horror,,
"Which actress starred in ""Legally Blonde""?",Cameron Diaz,Anne Hathaway,Reese Witherspoon,Sandra Bullock,Reese Witherspoon,,
"What is the name of the sequel to ""Top Gun""?",Top Gun: Rise,Top Gun: Maverick,Top Gun: Legacy,Top Gun: Reloaded,Top Gun: Maverick,,
Which Pixar movie is about emotions?,Soul,Up,Inside Out,Coco,Inside Out,,
Which film follows a group of magicians?,The Illusionist,Now You See Me,Prestige,Magic Mike,Now You See Me,,
What movie shows an astronaut stranded on Mars?,Gravity,The Martian,Interstellar,Ad Astra,The Martian,,
Who voiced Buzz Lightyear?,Tim Allen,Tom Hanks,Chris Pratt,Patrick Warburton,Tim Allen,,
Which movie has a rabbit detective?,Kung Fu Panda,Zootopia,Bolt,Despicable Me,Zootopia,,
Which actor played Captain Jack Sparrow?,Orlando Bloom,Johnny Depp,Hugh Grant,Brad Pitt,Johnny Depp,,
What is the profession of Elle Woods?,Model,Actress,Lawyer,Journalist,Lawyer,,
"Which actor starred in ""The Revenant""?",Matt Damon,Christian Bale,Leonardo DiCaprio,Tom Hardy,Leonardo DiCaprio,,
Which film is about two magicians competing?,The Illusionist,The Prestige,Now You See Me,Magic Duel,The Prestige,,
What’s the name of Simba’s evil uncle?,Scar,Mufasa,Zazu,Timon,Scar,,
Which film features characters inside a video game?,Wreck-It Ralph,Big Hero 6,Onward,Turning Red,Wreck-It Ralph,,
"Who directed ""E.T.""?",Steven Spielberg,George Lucas,James Cameron,Robert Zemeckis,Steven Spielberg,,
Which movie is about a sentient robot?,RoboCop,WALL-E,Terminator,I, Robot,,
Which actor played The Hulk in Avengers?,Mark Ruffalo,Edward Norton,Bruce Willis,Eric Bana,Mark Ruffalo,,
Which film has blue-skinned aliens?,Star Trek,Avatar,John Carter,The Fifth Element,Avatar,,
What’s the name of the cowboy doll?,Jessie,Woody,Buzz,Andy,Woody,,
What was the first Marvel Cinematic Universe movie?,Iron Man,The Hulk,Thor,Captain America,Iron Man,,
